text_file,original,status,replacement,matched_file,download_url,note
2010-2014.html,uploads/1/2/2/8/122804110/editor/2-12-orig.png?1722775454,repaired,uploads/1/2/2/8/122804110/2-12-orig_orig.png,uploads/1/2/2/8/122804110/2-12-orig_orig.png,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/editor/2-13-orig.png?1722775956,repaired,uploads/1/2/2/8/122804110/2-13-orig_orig.png,uploads/1/2/2/8/122804110/2-13-orig_orig.png,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/published/images-medium-jp-2013-12744p-0010.gif?1722776136,repaired,uploads/1/2/2/8/122804110/images-medium-jp-2013-12744p-0010_orig.gif,uploads/1/2/2/8/122804110/images-medium-jp-2013-12744p-0010_orig.gif,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/published/2-15-orig.png?1722776410,repaired,uploads/1/2/2/8/122804110/2-15-orig_orig.png,uploads/1/2/2/8/122804110/2-15-orig_orig.png,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/2-16-orig_orig.png,already-valid,uploads/1/2/2/8/122804110/2-16-orig_orig.png,uploads/1/2/2/8/122804110/2-16-orig_orig.png,,existing-relative-path
2010-2014.html,uploads/1/2/2/8/122804110/published/2-17-orig.png?1722776775,repaired,uploads/1/2/2/8/122804110/2-17-orig_orig.png,uploads/1/2/2/8/122804110/2-17-orig_orig.png,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/16-orig_orig.gif,already-valid,uploads/1/2/2/8/122804110/16-orig_orig.gif,uploads/1/2/2/8/122804110/16-orig_orig.gif,,existing-relative-path
2010-2014.html,uploads/1/2/2/8/122804110/published/2-19-orig.png?1722777261,repaired,uploads/1/2/2/8/122804110/2-19-orig_orig.png,uploads/1/2/2/8/122804110/2-19-orig_orig.png,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/published/2-20-1-orig.png?1722777570,repaired,uploads/1/2/2/8/122804110/2-20-1-orig_orig.png,uploads/1/2/2/8/122804110/2-20-1-orig_orig.png,,unique-normalized-name
2010-2014.html,uploads/1/2/2/8/122804110/published/2-21-1-orig.png?1722777611,repaired,uploads/1/2/2/8/122804110/2-21-1-orig_orig.png,uploads/1/2/2/8/122804110/2-21-1-orig_orig.png,,unique-normalized-name
2015-2019.html,uploads/1/2/2/8/122804110/published/2019-co.jpg?1722932517,repaired,uploads/1/2/2/8/122804110/2019-co_orig.jpg,uploads/1/2/2/8/122804110/2019-co_orig.jpg,,unique-normalized-name
2015-2019.html,uploads/1/2/2/8/122804110/published/12.png?1722932655,repaired,uploads/1/2/2/8/122804110/published/12.png,uploads/1/2/2/8/122804110/published/12.png,https://jsylab1218.weebly.com/uploads/1/2/2/8/122804110/published/12.png?1722932655,downloaded:93951bytes
2015-2019.html,uploads/1/2/2/8/122804110/2-1-orig_orig.png,already-valid,uploads/1/2/2/8/122804110/2-1-orig_orig.png,uploads/1/2/2/8/122804110/2-1-orig_orig.png,,existing-relative-path
